Operation, a, b, c, d, e, f, g, h
241, 1,107900,124900,2,53979,0,53979,0
242, 1,107900,124900,2,53979,0,-53921,0
244, 1,107900,124900,2,53979,0,2,0
245, 1,107900,124900,2,53979,0,107958,0
246, 1,107900,124900,2,53979,0,58,0
248, 1,107900,124900,2,53980,0,58,0
249, 1,107900,124900,2,53980,0,53980,0
250, 1,107900,124900,2,53980,0,-53920,0
252, 1,107900,124900,2,53980,0,2,0
253, 1,107900,124900,2,53980,0,107960,0
254, 1,107900,124900,2,53980,0,60,0
256, 1,107900,124900,2,53981,0,60,0
257, 1,107900,124900,2,53981,0,53981,0
258, 1,107900,124900,2,53981,0,-53919,0
260, 1,107900,124900,2,53981,0,2,0
261, 1,107900,124900,2,53981,0,107962,0
262, 1,107900,124900,2,53981,0,62,0
264, 1,107900,124900,2,53982,0,62,0
265, 1,107900,124900,2,53982,0,53982,0
266, 1,107900,124900,2,53982,0,-53918,0
268, 1,107900,124900,2,53982,0,2,0
269, 1,107900,124900,2,53982,0,107964,0
270, 1,107900,124900,2,53982,0,64,0
272, 1,107900,124900,2,53983,0,64,0
273, 1,107900,124900,2,53983,0,53983,0
274, 1,107900,124900,2,53983,0,-53917,0
276, 1,107900,124900,2,53983,0,2,0
277, 1,107900,124900,2,53983,0,107966,0
278, 1,107900,124900,2,53983,0,66,0
280, 1,107900,124900,2,53984,0,66,0
281, 1,107900,124900,2,53984,0,53984,0
282, 1,107900,124900,2,53984,0,-53916,0
284, 1,107900,124900,2,53984,0,2,0
285, 1,107900,124900,2,53984,0,107968,0
286, 1,107900,124900,2,53984,0,68,0
288, 1,107900,124900,2,53985,0,68,0
289, 1,107900,124900,2,53985,0,53985,0
290, 1,107900,124900,2,53985,0,-53915,0
292, 1,107900,124900,2,53985,0,2,0
293, 1,107900,124900,2,53985,0,107970,0
294, 1,107900,124900,2,53985,0,70,0
296, 1,107900,124900,2,53986,0,70,0
297, 1,107900,124900,2,53986,0,53986,0
298, 1,107900,124900,2,53986,0,-53914,0
300, 1,107900,124900,2,53986,0,2,0
301, 1,107900,124900,2,53986,0,107972,0
302, 1,107900,124900,2,53986,0,72,0
304, 1,107900,124900,2,53987,0,72,0
305, 1,107900,124900,2,53987,0,53987,0
306, 1,107900,124900,2,53987,0,-53913,0
308, 1,107900,124900,2,53987,0,2,0
309, 1,107900,124900,2,53987,0,107974,0
310, 1,107900,124900,2,53987,0,74,0
312, 1,107900,124900,2,53988,0,74,0
313, 1,107900,124900,2,53988,0,53988,0
314, 1,107900,124900,2,53988,0,-53912,0
316, 1,107900,124900,2,53988,0,2,0
317, 1,107900,124900,2,53988,0,107976,0
318, 1,107900,124900,2,53988,0,76,0
320, 1,107900,124900,2,53989,0,76,0
321, 1,107900,124900,2,53989,0,53989,0
322, 1,107900,124900,2,53989,0,-53911,0
324, 1,107900,124900,2,53989,0,2,0
325, 1,107900,124900,2,53989,0,107978,0
326, 1,107900,124900,2,53989,0,78,0
328, 1,107900,124900,2,53990,0,78,0
329, 1,107900,124900,2,53990,0,53990,0
330, 1,107900,124900,2,53990,0,-53910,0
332, 1,107900,124900,2,53990,0,2,0
333, 1,107900,124900,2,53990,0,107980,0
334, 1,107900,124900,2,53990,0,80,0
336, 1,107900,124900,2,53991,0,80,0
337, 1,107900,124900,2,53991,0,53991,0
338, 1,107900,124900,2,53991,0,-53909,0
340, 1,107900,124900,2,53991,0,2,0
341, 1,107900,124900,2,53991,0,107982,0
342, 1,107900,124900,2,53991,0,82,0
344, 1,107900,124900,2,53992,0,82,0
345, 1,107900,124900,2,53992,0,53992,0
346, 1,107900,124900,2,53992,0,-53908,0
348, 1,107900,124900,2,53992,0,2,0
349, 1,107900,124900,2,53992,0,107984,0
350, 1,107900,124900,2,53992,0,84,0
352, 1,107900,124900,2,53993,0,84,0
353, 1,107900,124900,2,53993,0,53993,0
354, 1,107900,124900,2,53993,0,-53907,0
356, 1,107900,124900,2,53993,0,2,0
357, 1,107900,124900,2,53993,0,107986,0
358, 1,107900,124900,2,53993,0,86,0
360, 1,107900,124900,2,53994,0,86,0
361, 1,107900,124900,2,53994,0,53994,0
362, 1,107900,124900,2,53994,0,-53906,0
364, 1,107900,124900,2,53994,0,2,0
365, 1,107900,124900,2,53994,0,107988,0
366, 1,107900,124900,2,53994,0,88,0
368, 1,107900,124900,2,53995,0,88,0
369, 1,107900,124900,2,53995,0,53995,0
370, 1,107900,124900,2,53995,0,-53905,0
372, 1,107900,124900,2,53995,0,2,0
373, 1,107900,124900,2,53995,0,107990,0
374, 1,107900,124900,2,53995,0,90,0
376, 1,107900,124900,2,53996,0,90,0
377, 1,107900,124900,2,53996,0,53996,0
378, 1,107900,124900,2,53996,0,-53904,0
380, 1,107900,124900,2,53996,0,2,0
381, 1,107900,124900,2,53996,0,107992,0
382, 1,107900,124900,2,53996,0,92,0
384, 1,107900,124900,2,53997,0,92,0
385, 1,107900,124900,2,53997,0,53997,0
386, 1,107900,124900,2,53997,0,-53903,0
388, 1,107900,124900,2,53997,0,2,0
389, 1,107900,124900,2,53997,0,107994,0
390, 1,107900,124900,2,53997,0,94,0
392, 1,107900,124900,2,53998,0,94,0
393, 1,107900,124900,2,53998,0,53998,0
394, 1,107900,124900,2,53998,0,-53902,0
396, 1,107900,124900,2,53998,0,2,0
397, 1,107900,124900,2,53998,0,107996,0
398, 1,107900,124900,2,53998,0,96,0
400, 1,107900,124900,2,53999,0,96,0
401, 1,107900,124900,2,53999,0,53999,0
402, 1,107900,124900,2,53999,0,-53901,0
404, 1,107900,124900,2,53999,0,2,0
405, 1,107900,124900,2,53999,0,107998,0
406, 1,107900,124900,2,53999,0,98,0
408, 1,107900,124900,2,54000,0,98,0
409, 1,107900,124900,2,54000,0,54000,0
410, 1,107900,124900,2,54000,0,-53900,0
412, 1,107900,124900,2,54000,0,2,0
413, 1,107900,124900,2,54000,0,108000,0
414, 1,107900,124900,2,54000,0,100,0
416, 1,107900,124900,2,54001,0,100,0
417, 1,107900,124900,2,54001,0,54001,0
418, 1,107900,124900,2,54001,0,-53899,0
420, 1,107900,124900,2,54001,0,2,0
421, 1,107900,124900,2,54001,0,108002,0
422, 1,107900,124900,2,54001,0,102,0
424, 1,107900,124900,2,54002,0,102,0
425, 1,107900,124900,2,54002,0,54002,0
426, 1,107900,124900,2,54002,0,-53898,0
428, 1,107900,124900,2,54002,0,2,0
429, 1,107900,124900,2,54002,0,108004,0
430, 1,107900,124900,2,54002,0,104,0
432, 1,107900,124900,2,54003,0,104,0
433, 1,107900,124900,2,54003,0,54003,0
434, 1,107900,124900,2,54003,0,-53897,0
436, 1,107900,124900,2,54003,0,2,0
437, 1,107900,124900,2,54003,0,108006,0
438, 1,107900,124900,2,54003,0,106,0
440, 1,107900,124900,2,54004,0,106,0
441, 1,107900,124900,2,54004,0,54004,0
442, 1,107900,124900,2,54004,0,-53896,0
444, 1,107900,124900,2,54004,0,2,0
445, 1,107900,124900,2,54004,0,108008,0
446, 1,107900,124900,2,54004,0,108,0
448, 1,107900,124900,2,54005,0,108,0
449, 1,107900,124900,2,54005,0,54005,0
450, 1,107900,124900,2,54005,0,-53895,0
452, 1,107900,124900,2,54005,0,2,0
453, 1,107900,124900,2,54005,0,108010,0
454, 1,107900,124900,2,54005,0,110,0
456, 1,107900,124900,2,54006,0,110,0
457, 1,107900,124900,2,54006,0,54006,0
458, 1,107900,124900,2,54006,0,-53894,0
460, 1,107900,124900,2,54006,0,2,0
461, 1,107900,124900,2,54006,0,108012,0
462, 1,107900,124900,2,54006,0,112,0
464, 1,107900,124900,2,54007,0,112,0
465, 1,107900,124900,2,54007,0,54007,0
466, 1,107900,124900,2,54007,0,-53893,0
468, 1,107900,124900,2,54007,0,2,0
469, 1,107900,124900,2,54007,0,108014,0
470, 1,107900,124900,2,54007,0,114,0
472, 1,107900,124900,2,54008,0,114,0
473, 1,107900,124900,2,54008,0,54008,0
474, 1,107900,124900,2,54008,0,-53892,0
476, 1,107900,124900,2,54008,0,2,0
477, 1,107900,124900,2,54008,0,108016,0
478, 1,107900,124900,2,54008,0,116,0
480, 1,107900,124900,2,54009,0,116,0
481, 1,107900,124900,2,54009,0,54009,0
482, 1,107900,124900,2,54009,0,-53891,0
484, 1,107900,124900,2,54009,0,2,0
485, 1,107900,124900,2,54009,0,108018,0
486, 1,107900,124900,2,54009,0,118,0
488, 1,107900,124900,2,54010,0,118,0
489, 1,107900,124900,2,54010,0,54010,0
490, 1,107900,124900,2,54010,0,-53890,0
492, 1,107900,124900,2,54010,0,2,0
493, 1,107900,124900,2,54010,0,108020,0
494, 1,107900,124900,2,54010,0,120,0
496, 1,107900,124900,2,54011,0,120,0
497, 1,107900,124900,2,54011,0,54011,0
498, 1,107900,124900,2,54011,0,-53889,0
500, 1,107900,124900,2,54011,0,2,0
501, 1,107900,124900,2,54011,0,108022,0
502, 1,107900,124900,2,54011,0,122,0
504, 1,107900,124900,2,54012,0,122,0
505, 1,107900,124900,2,54012,0,54012,0
506, 1,107900,124900,2,54012,0,-53888,0
508, 1,107900,124900,2,54012,0,2,0
509, 1,107900,124900,2,54012,0,108024,0
510, 1,107900,124900,2,54012,0,124,0
512, 1,107900,124900,2,54013,0,124,0
513, 1,107900,124900,2,54013,0,54013,0
514, 1,107900,124900,2,54013,0,-53887,0
516, 1,107900,124900,2,54013,0,2,0
517, 1,107900,124900,2,54013,0,108026,0
518, 1,107900,124900,2,54013,0,126,0
520, 1,107900,124900,2,54014,0,126,0
521, 1,107900,124900,2,54014,0,54014,0
522, 1,107900,124900,2,54014,0,-53886,0
524, 1,107900,124900,2,54014,0,2,0
525, 1,107900,124900,2,54014,0,108028,0
526, 1,107900,124900,2,54014,0,128,0
528, 1,107900,124900,2,54015,0,128,0
529, 1,107900,124900,2,54015,0,54015,0
530, 1,107900,124900,2,54015,0,-53885,0
532, 1,107900,124900,2,54015,0,2,0
533, 1,107900,124900,2,54015,0,108030,0
534, 1,107900,124900,2,54015,0,130,0
536, 1,107900,124900,2,54016,0,130,0
537, 1,107900,124900,2,54016,0,54016,0
538, 1,107900,124900,2,54016,0,-53884,0
540, 1,107900,124900,2,54016,0,2,0
541, 1,107900,124900,2,54016,0,108032,0
542, 1,107900,124900,2,54016,0,132,0
544, 1,107900,124900,2,54017,0,132,0
545, 1,107900,124900,2,54017,0,54017,0
546, 1,107900,124900,2,54017,0,-53883,0
548, 1,107900,124900,2,54017,0,2,0
549, 1,107900,124900,2,54017,0,108034,0
550, 1,107900,124900,2,54017,0,134,0
552, 1,107900,124900,2,54018,0,134,0
553, 1,107900,124900,2,54018,0,54018,0
554, 1,107900,124900,2,54018,0,-53882,0
556, 1,107900,124900,2,54018,0,2,0
557, 1,107900,124900,2,54018,0,108036,0
558, 1,107900,124900,2,54018,0,136,0
560, 1,107900,124900,2,54019,0,136,0
561, 1,107900,124900,2,54019,0,54019,0
562, 1,107900,124900,2,54019,0,-53881,0
564, 1,107900,124900,2,54019,0,2,0
565, 1,107900,124900,2,54019,0,108038,0
566, 1,107900,124900,2,54019,0,138,0
568, 1,107900,124900,2,54020,0,138,0
569, 1,107900,124900,2,54020,0,54020,0
570, 1,107900,124900,2,54020,0,-53880,0
572, 1,107900,124900,2,54020,0,2,0
573, 1,107900,124900,2,54020,0,108040,0
574, 1,107900,124900,2,54020,0,140,0
576, 1,107900,124900,2,54021,0,140,0
577, 1,107900,124900,2,54021,0,54021,0
578, 1,107900,124900,2,54021,0,-53879,0
580, 1,107900,124900,2,54021,0,2,0
581, 1,107900,124900,2,54021,0,108042,0
582, 1,107900,124900,2,54021,0,142,0
584, 1,107900,124900,2,54022,0,142,0
585, 1,107900,124900,2,54022,0,54022,0
586, 1,107900,124900,2,54022,0,-53878,0
588, 1,107900,124900,2,54022,0,2,0
589, 1,107900,124900,2,54022,0,108044,0
590, 1,107900,124900,2,54022,0,144,0
592, 1,107900,124900,2,54023,0,144,0
593, 1,107900,124900,2,54023,0,54023,0
594, 1,107900,124900,2,54023,0,-53877,0
596, 1,107900,124900,2,54023,0,2,0
597, 1,107900,124900,2,54023,0,108046,0
598, 1,107900,124900,2,54023,0,146,0
600, 1,107900,124900,2,54024,0,146,0
601, 1,107900,124900,2,54024,0,54024,0
602, 1,107900,124900,2,54024,0,-53876,0
604, 1,107900,124900,2,54024,0,2,0
605, 1,107900,124900,2,54024,0,108048,0
606, 1,107900,124900,2,54024,0,148,0
608, 1,107900,124900,2,54025,0,148,0
609, 1,107900,124900,2,54025,0,54025,0
610, 1,107900,124900,2,54025,0,-53875,0
612, 1,107900,124900,2,54025,0,2,0
613, 1,107900,124900,2,54025,0,108050,0
614, 1,107900,124900,2,54025,0,150,0
616, 1,107900,124900,2,54026,0,150,0
617, 1,107900,124900,2,54026,0,54026,0
618, 1,107900,124900,2,54026,0,-53874,0
620, 1,107900,124900,2,54026,0,2,0
621, 1,107900,124900,2,54026,0,108052,0
622, 1,107900,124900,2,54026,0,152,0
624, 1,107900,124900,2,54027,0,152,0
625, 1,107900,124900,2,54027,0,54027,0
626, 1,107900,124900,2,54027,0,-53873,0
628, 1,107900,124900,2,54027,0,2,0
629, 1,107900,124900,2,54027,0,108054,0
630, 1,107900,124900,2,54027,0,154,0
632, 1,107900,124900,2,54028,0,154,0
633, 1,107900,124900,2,54028,0,54028,0
634, 1,107900,124900,2,54028,0,-53872,0
636, 1,107900,124900,2,54028,0,2,0
637, 1,107900,124900,2,54028,0,108056,0
638, 1,107900,124900,2,54028,0,156,0
640, 1,107900,124900,2,54029,0,156,0
641, 1,107900,124900,2,54029,0,54029,0
642, 1,107900,124900,2,54029,0,-53871,0
644, 1,107900,124900,2,54029,0,2,0
645, 1,107900,124900,2,54029,0,108058,0
646, 1,107900,124900,2,54029,0,158,0
648, 1,107900,124900,2,54030,0,158,0
649, 1,107900,124900,2,54030,0,54030,0
650, 1,107900,124900,2,54030,0,-53870,0
652, 1,107900,124900,2,54030,0,2,0
653, 1,107900,124900,2,54030,0,108060,0
654, 1,107900,124900,2,54030,0,160,0
656, 1,107900,124900,2,54031,0,160,0
657, 1,107900,124900,2,54031,0,54031,0
658, 1,107900,124900,2,54031,0,-53869,0
660, 1,107900,124900,2,54031,0,2,0
661, 1,107900,124900,2,54031,0,108062,0
662, 1,107900,124900,2,54031,0,162,0
664, 1,107900,124900,2,54032,0,162,0
665, 1,107900,124900,2,54032,0,54032,0
666, 1,107900,124900,2,54032,0,-53868,0
668, 1,107900,124900,2,54032,0,2,0
669, 1,107900,124900,2,54032,0,108064,0
670, 1,107900,124900,2,54032,0,164,0
672, 1,107900,124900,2,54033,0,164,0
673, 1,107900,124900,2,54033,0,54033,0
674, 1,107900,124900,2,54033,0,-53867,0
676, 1,107900,124900,2,54033,0,2,0
677, 1,107900,124900,2,54033,0,108066,0
678, 1,107900,124900,2,54033,0,166,0
680, 1,107900,124900,2,54034,0,166,0
681, 1,107900,124900,2,54034,0,54034,0
682, 1,107900,124900,2,54034,0,-53866,0
684, 1,107900,124900,2,54034,0,2,0
685, 1,107900,124900,2,54034,0,108068,0
686, 1,107900,124900,2,54034,0,168,0
688, 1,107900,124900,2,54035,0,168,0
689, 1,107900,124900,2,54035,0,54035,0
690, 1,107900,124900,2,54035,0,-53865,0
692, 1,107900,124900,2,54035,0,2,0
693, 1,107900,124900,2,54035,0,108070,0
694, 1,107900,124900,2,54035,0,170,0
696, 1,107900,124900,2,54036,0,170,0
697, 1,107900,124900,2,54036,0,54036,0
698, 1,107900,124900,2,54036,0,-53864,0
700, 1,107900,124900,2,54036,0,2,0
701, 1,107900,124900,2,54036,0,108072,0
702, 1,107900,124900,2,54036,0,172,0
704, 1,107900,124900,2,54037,0,172,0
705, 1,107900,124900,2,54037,0,54037,0
706, 1,107900,124900,2,54037,0,-53863,0
708, 1,107900,124900,2,54037,0,2,0
709, 1,107900,124900,2,54037,0,108074,0
710, 1,107900,124900,2,54037,0,174,0
712, 1,107900,124900,2,54038,0,174,0
713, 1,107900,124900,2,54038,0,54038,0
714, 1,107900,124900,2,54038,0,-53862,0
716, 1,107900,124900,2,54038,0,2,0
717, 1,107900,124900,2,54038,0,108076,0
718, 1,107900,124900,2,54038,0,176,0
720, 1,107900,124900,2,54039,0,176,0
721, 1,107900,124900,2,54039,0,54039,0
722, 1,107900,124900,2,54039,0,-53861,0
724, 1,107900,124900,2,54039,0,2,0
725, 1,107900,124900,2,54039,0,108078,0
726, 1,107900,124900,2,54039,0,178,0
728, 1,107900,124900,2,54040,0,178,0
729, 1,107900,124900,2,54040,0,54040,0
730, 1,107900,124900,2,54040,0,-53860,0
732, 1,107900,124900,2,54040,0,2,0
733, 1,107900,124900,2,54040,0,108080,0
734, 1,107900,124900,2,54040,0,180,0
736, 1,107900,124900,2,54041,0,180,0
737, 1,107900,124900,2,54041,0,54041,0
738, 1,107900,124900,2,54041,0,-53859,0
740, 1,107900,124900,2,54041,0,2,0
741, 1,107900,124900,2,54041,0,108082,0
742, 1,107900,124900,2,54041,0,182,0
744, 1,107900,124900,2,54042,0,182,0
745, 1,107900,124900,2,54042,0,54042,0
746, 1,107900,124900,2,54042,0,-53858,0
748, 1,107900,124900,2,54042,0,2,0
749, 1,107900,124900,2,54042,0,108084,0
750, 1,107900,124900,2,54042,0,184,0
752, 1,107900,124900,2,54043,0,184,0
753, 1,107900,124900,2,54043,0,54043,0
754, 1,107900,124900,2,54043,0,-53857,0
756, 1,107900,124900,2,54043,0,2,0
757, 1,107900,124900,2,54043,0,108086,0
758, 1,107900,124900,2,54043,0,186,0
760, 1,107900,124900,2,54044,0,186,0
761, 1,107900,124900,2,54044,0,54044,0
762, 1,107900,124900,2,54044,0,-53856,0
764, 1,107900,124900,2,54044,0,2,0
765, 1,107900,124900,2,54044,0,108088,0
766, 1,107900,124900,2,54044,0,188,0
768, 1,107900,124900,2,54045,0,188,0
769, 1,107900,124900,2,54045,0,54045,0
770, 1,107900,124900,2,54045,0,-53855,0
772, 1,107900,124900,2,54045,0,2,0
773, 1,107900,124900,2,54045,0,108090,0
774, 1,107900,124900,2,54045,0,190,0
776, 1,107900,124900,2,54046,0,190,0
777, 1,107900,124900,2,54046,0,54046,0
778, 1,107900,124900,2,54046,0,-53854,0
780, 1,107900,124900,2,54046,0,2,0
781, 1,107900,124900,2,54046,0,108092,0
782, 1,107900,124900,2,54046,0,192,0
784, 1,107900,124900,2,54047,0,192,0
785, 1,107900,124900,2,54047,0,54047,0
786, 1,107900,124900,2,54047,0,-53853,0
788, 1,107900,124900,2,54047,0,2,0
789, 1,107900,124900,2,54047,0,108094,0
790, 1,107900,124900,2,54047,0,194,0
792, 1,107900,124900,2,54048,0,194,0
793, 1,107900,124900,2,54048,0,54048,0
794, 1,107900,124900,2,54048,0,-53852,0
796, 1,107900,124900,2,54048,0,2,0
797, 1,107900,124900,2,54048,0,108096,0
798, 1,107900,124900,2,54048,0,196,0
800, 1,107900,124900,2,54049,0,196,0
801, 1,107900,124900,2,54049,0,54049,0
802, 1,107900,124900,2,54049,0,-53851,0
804, 1,107900,124900,2,54049,0,2,0
805, 1,107900,124900,2,54049,0,108098,0
806, 1,107900,124900,2,54049,0,198,0
808, 1,107900,124900,2,54050,0,198,0
809, 1,107900,124900,2,54050,0,54050,0
810, 1,107900,124900,2,54050,0,-53850,0
812, 1,107900,124900,2,54050,0,2,0
813, 1,107900,124900,2,54050,0,108100,0
814, 1,107900,124900,2,54050,0,200,0
816, 1,107900,124900,2,54051,0,200,0
817, 1,107900,124900,2,54051,0,54051,0
